"table","variable","code","label","note","type"
"collision","local_authority_district","77","Pendle",,"character"
"collision","local_authority_district","79","Preston",,"character"
"collision","local_authority_district","80","Ribble Valley",,"character"
"collision","local_authority_district","82","Rossendale",,"character"
"collision","local_authority_district","83","South Ribble",,"character"
"collision","local_authority_district","84","West Lancashire",,"character"
"collision","local_authority_district","85","Wyre",,"character"
"collision","local_authority_district","90","Knowsley",,"character"
"collision","local_authority_district","91","Liverpool",,"character"
"collision","local_authority_district","92","St. Helens",,"character"
"collision","local_authority_district","93","Sefton",,"character"
"collision","local_authority_district","95","Wirral",,"character"
"collision","local_authority_district","100","Bolton",,"character"
"collision","local_authority_district","101","Bury",,"character"
"collision","local_authority_district","102","Manchester",,"character"
"collision","local_authority_district","104","Oldham",,"character"
"collision","local_authority_district","106","Rochdale",,"character"
"collision","local_authority_district","107","Salford",,"character"
"collision","local_authority_district","109","Stockport",,"character"
"collision","local_authority_district","110","Tameside",,"character"
"collision","local_authority_district","112","Trafford",,"character"
"collision","local_authority_district","114","Wigan",,"character"
"collision","local_authority_district","120","Chester",,"character"
"collision","local_authority_district","121","Congleton",,"character"
"collision","local_authority_district","122","Crewe and Nantwich",,"character"
"collision","local_authority_district","123","Ellesmere Port and Neston",,"character"
"collision","local_authority_district","124","Halton",,"character"
"collision","local_authority_district","126","Macclesfield",,"character"
"collision","local_authority_district","127","Vale Royal",,"character"
"collision","local_authority_district","128","Warrington",,"character"
"collision","local_authority_district","129","Cheshire East",,"character"
"collision","local_authority_district","130","Cheshire West and Chester",,"character"
"collision","local_authority_district","139","Northumberland",,"character"
"collision","local_authority_district","140","Alnwick",,"character"
"collision","local_authority_district","141","Berwick-upon-Tweed",,"character"
"collision","local_authority_district","142","Blyth Valley",,"character"
"collision","local_authority_district","143","Castle Morpeth",,"character"
"collision","local_authority_district","143","Castle Morpeth",,"character"
"collision","local_authority_district","144","Tynedale",,"character"
"collision","local_authority_district","145","Wansbeck",,"character"
"collision","local_authority_district","146","Gateshead",,"character"
"collision","local_authority_district","147","Newcastle upon Tyne",,"character"
"collision","local_authority_district","148","North Tyneside",,"character"
"collision","local_authority_district","149","South Tyneside",,"character"
"collision","local_authority_district","150","Sunderland",,"character"
"collision","local_authority_district","160","Chester-le-Street",,"character"
"collision","local_authority_district","161","Darlington",,"character"
"collision","local_authority_district","162","Derwentside",,"character"
"collision","local_authority_district","163","Durham",,"character"
"collision","local_authority_district","164","Easington",,"character"
"collision","local_authority_district","165","Sedgefield",,"character"
"collision","local_authority_district","166","Teesdale",,"character"
"collision","local_authority_district","168","Wear Valley",,"character"
"collision","local_authority_district","169","County Durham",,"character"
"collision","local_authority_district","180","Craven",,"character"
"collision","local_authority_district","181","Hambleton",,"character"
"collision","local_authority_district","182","Harrogate",,"character"
"collision","local_authority_district","184","Richmondshire",,"character"
"collision","local_authority_district","185","Ryedale",,"character"
"collision","local_authority_district","186","Scarborough",,"character"
"collision","local_authority_district","187","Selby",,"character"
"collision","local_authority_district","189","York",,"character"
"collision","local_authority_district","200","Bradford",,"character"
"collision","local_authority_district","202","Calderdale",,"character"
"collision","local_authority_district","203","Kirklees",,"character"
"collision","local_authority_district","204","Leeds",,"character"
"collision","local_authority_district","206","Wakefield",,"character"
"collision","local_authority_district","210","Barnsley",,"character"
"collision","local_authority_district","211","Doncaster",,"character"
"collision","local_authority_district","213","Rotherham",,"character"
"collision","local_authority_district","215","Sheffield",,"character"
"collision","local_authority_district","220","Beverley",,"character"
"collision","local_authority_district","221","Boothferry",,"character"
"collision","local_authority_district","224","Cleethorpes",,"character"
"collision","local_authority_district","225","Glanford",,"character"
"collision","local_authority_district","226","Grimsby",,"character"
"collision","local_authority_district","227","Holderness",,"character"
"collision","local_authority_district","228","Kingston upon Hull, City of",,"character"
"collision","local_authority_district","229","East Yorkshire",,"character"
"collision","local_authority_district","230","Scunthorpe",,"character"
"collision","local_authority_district","231","East Riding of Yorkshire",,"character"
"collision","local_authority_district","232","North Lincolnshire",,"character"
"collision","local_authority_district","233","North East Lincolnshire",,"character"
"collision","local_authority_district","240","Hartlepool",,"character"
"collision","local_authority_district","241","Redcar and Cleveland",,"character"
"collision","local_authority_district","243","Middlesbrough",,"character"
"collision","local_authority_district","245","Stockton-on-Tees",,"character"
"collision","local_authority_district","250","Cannock Chase",,"character"
"collision","local_authority_district","251","East Staffordshire",,"character"
"collision","local_authority_district","252","Lichfield",,"character"
"collision","local_authority_district","253","Newcastle-under-Lyme",,"character"
"collision","local_authority_district","254","South Staffordshire",,"character"
"collision","local_authority_district","255","Stafford",,"character"
"collision","local_authority_district","256","Staffordshire Moorlands",,"character"
"collision","local_authority_district","257","Stoke-on-Trent",,"character"
"collision","local_authority_district","258","Tamworth",,"character"
"collision","local_authority_district","270","Bromsgrove",,"character"
"collision","local_authority_district","271","Hereford",,"character"
"collision","local_authority_district","272","Leominster",,"character"
"collision","local_authority_district","273","Malvern Hills",,"character"
"collision","local_authority_district","274","Redditch",,"character"
"collision","local_authority_district","275","South Herefordshire",,"character"
"collision","local_authority_district","276","Worcester",,"character"
"collision","local_authority_district","277","Wychavon",,"character"
"collision","local_authority_district","278","Wyre Forest",,"character"
"collision","local_authority_district","279","Bridgnorth",,"character"
"collision","local_authority_district","280","North Shropshire",,"character"
"collision","local_authority_district","281","Oswestry",,"character"
"collision","local_authority_district","282","Shrewsbury and Atcham",,"character"
"collision","local_authority_district","283","South Shropshire",,"character"
"collision","local_authority_district","284","Telford and Wrekin",,"character"
"collision","local_authority_district","285","Herefordshire, County of ",,"character"
"collision","local_authority_district","286","Shropshire",,"character"
"collision","local_authority_district","290","North Warwickshire",,"character"
"collision","local_authority_district","291","Nuneaton and Bedworth",,"character"
"collision","local_authority_district","292","Rugby ",,"character"
"collision","local_authority_district","293","Stratford-upon-Avon",,"character"
"collision","local_authority_district","294","Warwick",,"character"
"collision","local_authority_district","300","Birmingham",,"character"
"collision","local_authority_district","302","Coventry",,"character"
"collision","local_authority_district","303","Dudley",,"character"
"collision","local_authority_district","305","Sandwell",,"character"
"collision","local_authority_district","306","Solihull",,"character"
"collision","local_authority_district","307","Walsall",,"character"
"collision","local_authority_district","309","Wolverhampton",,"character"
"collision","local_authority_district","320","Amber Valley",,"character"
"collision","local_authority_district","321","Bolsover",,"character"
"collision","local_authority_district","322","Chesterfield",,"character"
"collision","local_authority_district","323","Derby",,"character"
"collision","local_authority_district","324","Erewash",,"character"
"collision","local_authority_district","325","High Peak",,"character"
"collision","local_authority_district","327","North East Derbyshire",,"character"
"collision","local_authority_district","328","South Derbyshire",,"character"
"collision","local_authority_district","329","Derbyshire Dales",,"character"
"collision","local_authority_district","340","Ashfield",,"character"
"collision","local_authority_district","341","Bassetlaw",,"character"
"collision","local_authority_district","342","Broxtowe",,"character"
