"table","variable","code","label","note","type"
"collision","local_authority_district","841","Strathkelvin",,"character"
"collision","local_authority_district","842","Cumbernauld and Kilsyth",,"character"
"collision","local_authority_district","843","Monklands",,"character"
"collision","local_authority_district","844","Motherwell",,"character"
"collision","local_authority_district","845","Hamilton",,"character"
"collision","local_authority_district","846","East Kilbride",,"character"
"collision","local_authority_district","847","Eastwood",,"character"
"collision","local_authority_district","848","Lanark",,"character"
"collision","local_authority_district","849","Renfrew",,"character"
"collision","local_authority_district","850","Inverclyde",,"character"
"collision","local_authority_district","851","Cunninghame",,"character"
"collision","local_authority_district","852","Kilmarnock and Loudoun",,"character"
"collision","local_authority_district","853","Kyle and Carrick",,"character"
"collision","local_authority_district","854","Cumnock and Doon Valley",,"character"
"collision","local_authority_district","856","Wigtown",,"character"
"collision","local_authority_district","857","Stewartry",,"character"
"collision","local_authority_district","858","Nithsdale",,"character"
"collision","local_authority_district","859","Annandale and Eskdale",,"character"
"collision","local_authority_district","910","Aberdeen City",,"character"
"collision","local_authority_district","911","Aberdeenshire",,"character"
"collision","local_authority_district","912","Angus",,"character"
"collision","local_authority_district","913","Argyll and Bute",,"character"
"collision","local_authority_district","914","Scottish Borders",,"character"
"collision","local_authority_district","915","Clackmannanshire",,"character"
"collision","local_authority_district","916","West Dunbartonshire",,"character"
"collision","local_authority_district","917","Dumfries and Galloway",,"character"
"collision","local_authority_district","918","Dundee City",,"character"
"collision","local_authority_district","919","East Ayrshire",,"character"
"collision","local_authority_district","920","East Dunbartonshire",,"character"
"collision","local_authority_district","921","East Lothian",,"character"
"collision","local_authority_district","922","East Renfrewshire",,"character"
"collision","local_authority_district","923","Edinburgh, City of",,"character"
"collision","local_authority_district","924","Falkirk",,"character"
"collision","local_authority_district","925","Fife",,"character"
"collision","local_authority_district","926","Glasgow City",,"character"
"collision","local_authority_district","927","Highland",,"character"
"collision","local_authority_district","928","Inverclyde",,"character"
"collision","local_authority_district","929","Midlothian",,"character"
"collision","local_authority_district","930","Moray",,"character"
"collision","local_authority_district","931","North Ayrshire",,"character"
"collision","local_authority_district","932","North Lanarkshire",,"character"
"collision","local_authority_district","933","Orkney Islands",,"character"
"collision","local_authority_district","934","Perth and Kinross",,"character"
"collision","local_authority_district","935","Renfrewshire",,"character"
"collision","local_authority_district","936","Shetland Islands",,"character"
"collision","local_authority_district","937","South Ayrshire",,"character"
"collision","local_authority_district","938","South Lanarkshire",,"character"
"collision","local_authority_district","939","Stirling",,"character"
"collision","local_authority_district","940","West Lothian",,"character"
"collision","local_authority_district","941","Western Isles",,"character"
"collision","local_authority_district","-1","Code deprecated",,"character"
"collision","local_authority_ons_district","E06000001","Hartlepool",,"character"
"collision","local_authority_ons_district","E06000002","Middlesbrough",,"character"
"collision","local_authority_ons_district","E06000003","Redcar and Cleveland",,"character"
"collision","local_authority_ons_district","E06000004","Stockton-on-Tees",,"character"
"collision","local_authority_ons_district","E06000005","Darlington",,"character"
"collision","local_authority_ons_district","E06000006","Halton",,"character"
"collision","local_authority_ons_district","E06000007","Warrington",,"character"
"collision","local_authority_ons_district","E06000008","Blackburn with Darwen",,"character"
"collision","local_authority_ons_district","E06000009","Blackpool",,"character"
"collision","local_authority_ons_district","E06000010","Kingston upon Hull, City of",,"character"
"collision","local_authority_ons_district","E06000011","East Riding of Yorkshire",,"character"
"collision","local_authority_ons_district","E06000012","North East Lincolnshire",,"character"
"collision","local_authority_ons_district","E06000013","North Lincolnshire",,"character"
"collision","local_authority_ons_district","E06000014","York",,"character"
"collision","local_authority_ons_district","E06000015","Derby",,"character"
"collision","local_authority_ons_district","E06000016","Leicester",,"character"
"collision","local_authority_ons_district","E06000017","Rutland",,"character"
"collision","local_authority_ons_district","E06000018","Nottingham",,"character"
"collision","local_authority_ons_district","E06000019","Herefordshire, County of ",,"character"
"collision","local_authority_ons_district","E06000020","Telford and Wrekin",,"character"
"collision","local_authority_ons_district","E06000021","Stoke-on-Trent",,"character"
"collision","local_authority_ons_district","E06000022","Bath and North East Somerset",,"character"
"collision","local_authority_ons_district","E06000023","Bristol, City of",,"character"
"collision","local_authority_ons_district","E06000024","North Somerset",,"character"
"collision","local_authority_ons_district","E06000025","South Gloucestershire",,"character"
"collision","local_authority_ons_district","E06000026","Plymouth",,"character"
"collision","local_authority_ons_district","E06000027","Torbay",,"character"
"collision","local_authority_ons_district","E06000028","Bournemouth",,"character"
"collision","local_authority_ons_district","E06000029","Poole",,"character"
"collision","local_authority_ons_district","E06000030","Swindon",,"character"
"collision","local_authority_ons_district","E06000031","Peterborough",,"character"
"collision","local_authority_ons_district","E06000032","Luton",,"character"
"collision","local_authority_ons_district","E06000033","Southend-on-Sea",,"character"
"collision","local_authority_ons_district","E06000034","Thurrock",,"character"
"collision","local_authority_ons_district","E06000035","Medway",,"character"
"collision","local_authority_ons_district","E06000036","Bracknell Forest",,"character"
"collision","local_authority_ons_district","E06000037","West Berkshire",,"character"
"collision","local_authority_ons_district","E06000038","Reading",,"character"
"collision","local_authority_ons_district","E06000039","Slough",,"character"
"collision","local_authority_ons_district","E06000040","Windsor and Maidenhead",,"character"
"collision","local_authority_ons_district","E06000041","Wokingham",,"character"
"collision","local_authority_ons_district","E06000042","Milton Keynes",,"character"
"collision","local_authority_ons_district","E06000043","Brighton and Hove",,"character"
"collision","local_authority_ons_district","E06000044","Portsmouth",,"character"
"collision","local_authority_ons_district","E06000045","Southampton ",,"character"
"collision","local_authority_ons_district","E06000046","Isle of Wight",,"character"
"collision","local_authority_ons_district","E06000047","County Durham",,"character"
"collision","local_authority_ons_district","E06000048","Northumberland",,"character"
"collision","local_authority_ons_district","E06000049","Cheshire East",,"character"
"collision","local_authority_ons_district","E06000050","Cheshire West and Chester",,"character"
"collision","local_authority_ons_district","E06000051","Shropshire",,"character"
"collision","local_authority_ons_district","E06000052","Cornwall",,"character"
"collision","local_authority_ons_district","E06000053","Isles of Scilly",,"character"
"collision","local_authority_ons_district","E06000054","Wiltshire",,"character"
"collision","local_authority_ons_district","E06000055","Bedford",,"character"
"collision","local_authority_ons_district","E06000056","Central Bedfordshire",,"character"
"collision","local_authority_ons_district","E06000057","Northumberland",,"character"
"collision","local_authority_ons_district","E06000058","Bournemouth, Christchurch and Poole",,"character"
"collision","local_authority_ons_district","E06000059","Dorset (excluding Christchurch)",,"character"
"collision","local_authority_ons_district","E06000060","Buckinghamshire",,"character"
"collision","local_authority_ons_district","E06000061","North Northamptonshire",,"character"
"collision","local_authority_ons_district","E06000062","West Northamptonshire",,"character"
"collision","local_authority_ons_district","E06000063","Cumberland",,"character"
"collision","local_authority_ons_district","E06000064","Westmorland and Furness",,"character"
"collision","local_authority_ons_district","E06000065","North Yorkshire",,"character"
"collision","local_authority_ons_district","E06000066","Somerset",,"character"
"collision","local_authority_ons_district","E07000001","Mid Bedfordshire",,"character"
"collision","local_authority_ons_district","E07000002","Bedford",,"character"
"collision","local_authority_ons_district","E07000003","South Bedfordshire",,"character"
"collision","local_authority_ons_district","E07000004","Aylesbury Vale",,"character"
"collision","local_authority_ons_district","E07000005","Chiltern",,"character"
"collision","local_authority_ons_district","E07000006","South Bucks",,"character"
"collision","local_authority_ons_district","E07000007","Wycombe",,"character"
"collision","local_authority_ons_district","E07000008","Cambridge",,"character"
"collision","local_authority_ons_district","E07000009","East Cambridgeshire",,"character"
"collision","local_authority_ons_district","E07000010","Fenland",,"character"
"collision","local_authority_ons_district","E07000011","Huntingdonshire",,"character"
"collision","local_authority_ons_district","E07000012","South Cambridgeshire",,"character"
"collision","local_authority_ons_district","E07000019","Caradon",,"character"
"collision","local_authority_ons_district","E07000020","Carrick",,"character"
"collision","local_authority_ons_district","E07000021","Kerrier",,"character"
"collision","local_authority_ons_district","E07000022","North Cornwall",,"character"
"collision","local_authority_ons_district","E07000023","Penwith",,"character"
"collision","local_authority_ons_district","E07000024","Restormel",,"character"
"collision","local_authority_ons_district","E07000026","Allerdale",,"character"
"collision","local_authority_ons_district","E07000027","Barrow-in-Furness",,"character"
"collision","local_authority_ons_district","E07000028","Carlisle",,"character"
"collision","local_authority_ons_district","E07000029","Copeland",,"character"
"collision","local_authority_ons_district","E07000030","Eden",,"character"
"collision","local_authority_ons_district","E07000031","South Lakeland",,"character"
"collision","local_authority_ons_district","E07000032","Amber Valley",,"character"
"collision","local_authority_ons_district","E07000033","Bolsover",,"character"
"collision","local_authority_ons_district","E07000034","Chesterfield",,"character"
"collision","local_authority_ons_district","E07000035","Derbyshire Dales",,"character"
"collision","local_authority_ons_district","E07000036","Erewash",,"character"
"collision","local_authority_ons_district","E07000037","High Peak",,"character"
"collision","local_authority_ons_district","E07000038","North East Derbyshire",,"character"
"collision","local_authority_ons_district","E07000039","South Derbyshire",,"character"
"collision","local_authority_ons_district","E07000040","East Devon",,"character"
"collision","local_authority_ons_district","E07000041","Exeter",,"character"
"collision","local_authority_ons_district","E07000042","Mid Devon",,"character"
"collision","local_authority_ons_district","E07000043","North Devon",,"character"
"collision","local_authority_ons_district","E07000044","South Hams",,"character"
"collision","local_authority_ons_district","E07000045","Teignbridge",,"character"
"collision","local_authority_ons_district","E07000046","Torridge",,"character"
"collision","local_authority_ons_district","E07000047","West Devon",,"character"
"collision","local_authority_ons_district","E07000048","Christchurch",,"character"
"collision","local_authority_ons_district","E07000049","East Dorset",,"character"
"collision","local_authority_ons_district","E07000050","North Dorset",,"character"
"collision","local_authority_ons_district","E07000051","Purbeck",,"character"
"collision","local_authority_ons_district","E07000052","West Dorset",,"character"
"collision","local_authority_ons_district","E07000053","Weymouth and Portland",,"character"
"collision","local_authority_ons_district","E07000054","Chester-le-Street",,"character"
"collision","local_authority_ons_district","E07000055","Derwentside",,"character"
"collision","local_authority_ons_district","E07000056","Durham",,"character"
"collision","local_authority_ons_district","E07000057","Easington",,"character"
"collision","local_authority_ons_district","E07000058","Sedgefield",,"character"
"collision","local_authority_ons_district","E07000059","Teesdale",,"character"
"collision","local_authority_ons_district","E07000060","Wear Valley",,"character"
"collision","local_authority_ons_district","E07000061","Eastbourne",,"character"
"collision","local_authority_ons_district","E07000062","Hastings",,"character"
"collision","local_authority_ons_district","E07000063","Lewes",,"character"
"collision","local_authority_ons_district","E07000064","Rother",,"character"
"collision","local_authority_ons_district","E07000065","Wealden",,"character"
"collision","local_authority_ons_district","E07000066","Basildon",,"character"
"collision","local_authority_ons_district","E07000067","Braintree",,"character"
"collision","local_authority_ons_district","E07000068","Brentwood",,"character"
"collision","local_authority_ons_district","E07000069","Castle Point",,"character"
"collision","local_authority_ons_district","E07000070","Chelmsford",,"character"
"collision","local_authority_ons_district","E07000071","Colchester",,"character"
"collision","local_authority_ons_district","E07000072","Epping Forest",,"character"
"collision","local_authority_ons_district","E07000073","Harlow",,"character"
"collision","local_authority_ons_district","E07000074","Maldon",,"character"
"collision","local_authority_ons_district","E07000075","Rochford",,"character"
"collision","local_authority_ons_district","E07000076","Tendring",,"character"
"collision","local_authority_ons_district","E07000077","Uttlesford",,"character"
"collision","local_authority_ons_district","E07000078","Cheltenham",,"character"
"collision","local_authority_ons_district","E07000079","Cotswold",,"character"
"collision","local_authority_ons_district","E07000080","Forest of Dean",,"character"
"collision","local_authority_ons_district","E07000081","Gloucester",,"character"
"collision","local_authority_ons_district","E07000082","Stroud",,"character"
"collision","local_authority_ons_district","E07000083","Tewkesbury",,"character"
"collision","local_authority_ons_district","E07000084","Basingstoke and Deane",,"character"
"collision","local_authority_ons_district","E07000085","East Hampshire",,"character"
"collision","local_authority_ons_district","E07000086","Eastleigh",,"character"
"collision","local_authority_ons_district","E07000087","Fareham",,"character"
"collision","local_authority_ons_district","E07000088","Gosport",,"character"
"collision","local_authority_ons_district","E07000089","Hart",,"character"
"collision","local_authority_ons_district","E07000090","Havant",,"character"
"collision","local_authority_ons_district","E07000091","New Forest",,"character"
"collision","local_authority_ons_district","E07000092","Rushmoor",,"character"
"collision","local_authority_ons_district","E07000093","Test Valley",,"character"
"collision","local_authority_ons_district","E07000094","Winchester",,"character"
"collision","local_authority_ons_district","E07000095","Broxbourne",,"character"
"collision","local_authority_ons_district","E07000096","Dacorum",,"character"
"collision","local_authority_ons_district","E07000097","East Hertfordshire",,"character"
"collision","local_authority_ons_district","E07000098","Hertsmere",,"character"
"collision","local_authority_ons_district","E07000099","North Hertfordshire",,"character"
"collision","local_authority_ons_district","E07000100","St Albans",,"character"
"collision","local_authority_ons_district","E07000101","Stevenage",,"character"
"collision","local_authority_ons_district","E07000102","Three Rivers",,"character"
"collision","local_authority_ons_district","E07000103","Watford",,"character"
"collision","local_authority_ons_district","E07000104","Welwyn Hatfield",,"character"
"collision","local_authority_ons_district","E07000105","Ashford",,"character"
"collision","local_authority_ons_district","E07000106","Canterbury",,"character"
"collision","local_authority_ons_district","E07000107","Dartford",,"character"
"collision","local_authority_ons_district","E07000108","Dover",,"character"
"collision","local_authority_ons_district","E07000109","Gravesham",,"character"
"collision","local_authority_ons_district","E07000110","Maidstone",,"character"
"collision","local_authority_ons_district","E07000111","Sevenoaks",,"character"
"collision","local_authority_ons_district","E07000112","Shepway",,"character"
"collision","local_authority_ons_district","E07000113","Swale",,"character"
"collision","local_authority_ons_district","E07000114","Thanet",,"character"
"collision","local_authority_ons_district","E07000115","Tonbridge and Malling",,"character"
"collision","local_authority_ons_district","E07000116","Tunbridge Wells",,"character"
"collision","local_authority_ons_district","E07000117","Burnley",,"character"
"collision","local_authority_ons_district","E07000118","Chorley",,"character"
"collision","local_authority_ons_district","E07000119","Fylde",,"character"
"collision","local_authority_ons_district","E07000120","Hyndburn",,"character"
"collision","local_authority_ons_district","E07000121","Lancaster",,"character"
"collision","local_authority_ons_district","E07000122","Pendle",,"character"
"collision","local_authority_ons_district","E07000123","Preston",,"character"
"collision","local_authority_ons_district","E07000124","Ribble Valley",,"character"
"collision","local_authority_ons_district","E07000125","Rossendale",,"character"
"collision","local_authority_ons_district","E07000126","South Ribble",,"character"
"collision","local_authority_ons_district","E07000127","West Lancashire",,"character"
"collision","local_authority_ons_district","E07000128","Wyre",,"character"
"collision","local_authority_ons_district","E07000129","Blaby",,"character"
"collision","local_authority_ons_district","E07000130","Charnwood",,"character"
"collision","local_authority_ons_district","E07000131","Harborough",,"character"
"collision","local_authority_ons_district","E07000132","Hinckley and Bosworth",,"character"
"collision","local_authority_ons_district","E07000133","Melton",,"character"
"collision","local_authority_ons_district","E07000134","North West Leicestershire",,"character"
"collision","local_authority_ons_district","E07000135","Oadby and Wigston",,"character"
"collision","local_authority_ons_district","E07000136","Boston",,"character"
"collision","local_authority_ons_district","E07000137","East Lindsey",,"character"
"collision","local_authority_ons_district","E07000138","Lincoln",,"character"
"collision","local_authority_ons_district","E07000139","North Kesteven",,"character"
"collision","local_authority_ons_district","E07000140","South Holland",,"character"
"collision","local_authority_ons_district","E07000141","South Kesteven",,"character"
"collision","local_authority_ons_district","E07000142","West Lindsey",,"character"
"collision","local_authority_ons_district","E07000143","Breckland",,"character"
"collision","local_authority_ons_district","E07000144","Broadland",,"character"
"collision","local_authority_ons_district","E07000145","Great Yarmouth",,"character"
"collision","local_authority_ons_district","E07000146","King's Lynn and West Norfolk",,"character"
"collision","local_authority_ons_district","E07000147","North Norfolk",,"character"
"collision","local_authority_ons_district","E07000148","Norwich",,"character"
"collision","local_authority_ons_district","E07000149","South Norfolk",,"character"
"collision","local_authority_ons_district","E07000150","Corby",,"character"
"collision","local_authority_ons_district","E07000151","Daventry",,"character"
"collision","local_authority_ons_district","E07000152","East Northamptonshire",,"character"
"collision","local_authority_ons_district","E07000153","Kettering",,"character"
"collision","local_authority_ons_district","E07000154","Northampton",,"character"
"collision","local_authority_ons_district","E07000155","South Northamptonshire",,"character"
"collision","local_authority_ons_district","E07000156","Wellingborough",,"character"
"collision","local_authority_ons_district","E07000163","Craven",,"character"
"collision","local_authority_ons_district","E07000164","Hambleton",,"character"
"collision","local_authority_ons_district","E07000165","Harrogate",,"character"
"collision","local_authority_ons_district","E07000166","Richmondshire",,"character"
"collision","local_authority_ons_district","E07000167","Ryedale",,"character"
"collision","local_authority_ons_district","E07000168","Scarborough",,"character"
"collision","local_authority_ons_district","E07000169","Selby",,"character"
"collision","local_authority_ons_district","E07000170","Ashfield",,"character"
"collision","local_authority_ons_district","E07000171","Bassetlaw",,"character"
"collision","local_authority_ons_district","E07000172","Broxtowe",,"character"
"collision","local_authority_ons_district","E07000173","Gedling",,"character"
"collision","local_authority_ons_district","E07000174","Mansfield",,"character"
"collision","local_authority_ons_district","E07000175","Newark and Sherwood",,"character"
"collision","local_authority_ons_district","E07000176","Rushcliffe",,"character"
"collision","local_authority_ons_district","E07000177","Cherwell",,"character"
"collision","local_authority_ons_district","E07000178","Oxford",,"character"
"collision","local_authority_ons_district","E07000179","South Oxfordshire",,"character"
"collision","local_authority_ons_district","E07000180","Vale of White Horse",,"character"
"collision","local_authority_ons_district","E07000181","West Oxfordshire",,"character"
"collision","local_authority_ons_district","E07000187","Mendip",,"character"
"collision","local_authority_ons_district","E07000188","Sedgemoor",,"character"
"collision","local_authority_ons_district","E07000189","South Somerset",,"character"
"collision","local_authority_ons_district","E07000190","Taunton Deane",,"character"
"collision","local_authority_ons_district","E07000191","West Somerset",,"character"
"collision","local_authority_ons_district","E07000192","Cannock Chase",,"character"
"collision","local_authority_ons_district","E07000193","East Staffordshire",,"character"
"collision","local_authority_ons_district","E07000194","Lichfield",,"character"
"collision","local_authority_ons_district","E07000195","Newcastle-under-Lyme",,"character"
"collision","local_authority_ons_district","E07000196","South Staffordshire",,"character"
"collision","local_authority_ons_district","E07000197","Stafford",,"character"
"collision","local_authority_ons_district","E07000198","Staffordshire Moorlands",,"character"
"collision","local_authority_ons_district","E07000199","Tamworth",,"character"
"collision","local_authority_ons_district","E07000200","Babergh",,"character"
"collision","local_authority_ons_district","E07000201","Forest Heath",,"character"
"collision","local_authority_ons_district","E07000202","Ipswich",,"character"
"collision","local_authority_ons_district","E07000203","Mid Suffolk",,"character"
"collision","local_authority_ons_district","E07000204","St Edmundsbury",,"character"
"collision","local_authority_ons_district","E07000205","Suffolk Coastal",,"character"
"collision","local_authority_ons_district","E07000206","Waveney",,"character"
"collision","local_authority_ons_district","E07000207","Elmbridge",,"character"
"collision","local_authority_ons_district","E07000208","Epsom and Ewell",,"character"
"collision","local_authority_ons_district","E07000209","Guildford",,"character"
"collision","local_authority_ons_district","E07000210","Mole Valley",,"character"
"collision","local_authority_ons_district","E07000211","Reigate and Banstead",,"character"
"collision","local_authority_ons_district","E07000212","Runnymede",,"character"
"collision","local_authority_ons_district","E07000213","Spelthorne",,"character"
"collision","local_authority_ons_district","E07000214","Surrey Heath",,"character"
"collision","local_authority_ons_district","E07000215","Tandridge",,"character"
"collision","local_authority_ons_district","E07000216","Waverley",,"character"
"collision","local_authority_ons_district","E07000217","Woking",,"character"
"collision","local_authority_ons_district","E07000218","North Warwickshire",,"character"
"collision","local_authority_ons_district","E07000219","Nuneaton and Bedworth",,"character"
"collision","local_authority_ons_district","E07000220","Rugby ",,"character"
"collision","local_authority_ons_district","E07000221","Stratford-on-Avon",,"character"
"collision","local_authority_ons_district","E07000222","Warwick",,"character"
"collision","local_authority_ons_district","E07000223","Adur",,"character"
"collision","local_authority_ons_district","E07000224","Arun",,"character"
"collision","local_authority_ons_district","E07000225","Chichester",,"character"
"collision","local_authority_ons_district","E07000226","Crawley",,"character"
"collision","local_authority_ons_district","E07000227","Horsham",,"character"
"collision","local_authority_ons_district","E07000228","Mid Sussex",,"character"
"collision","local_authority_ons_district","E07000229","Worthing",,"character"
"collision","local_authority_ons_district","E07000234","Bromsgrove",,"character"
"collision","local_authority_ons_district","E07000235","Malvern Hills",,"character"
"collision","local_authority_ons_district","E07000236","Redditch",,"character"
"collision","local_authority_ons_district","E07000237","Worcester",,"character"
"collision","local_authority_ons_district","E07000238","Wychavon",,"character"
"collision","local_authority_ons_district","E07000239","Wyre Forest",,"character"
"collision","local_authority_ons_district","E07000240","St Albans",,"character"
"collision","local_authority_ons_district","E07000241","Welwyn Hatfield",,"character"
"collision","local_authority_ons_district","E07000242","East Hertfordshire",,"character"
"collision","local_authority_ons_district","E07000243","Stevenage",,"character"
"collision","local_authority_ons_district","E07000244","East Suffolk",,"character"
"collision","local_authority_ons_district","E07000245","West Suffolk",,"character"
"collision","local_authority_ons_district","E08000001","Bolton",,"character"
"collision","local_authority_ons_district","E08000002","Bury",,"character"
"collision","local_authority_ons_district","E08000003","Manchester",,"character"
"collision","local_authority_ons_district","E08000004","Oldham",,"character"
"collision","local_authority_ons_district","E08000005","Rochdale",,"character"
"collision","local_authority_ons_district","E08000006","Salford",,"character"
"collision","local_authority_ons_district","E08000007","Stockport",,"character"
"collision","local_authority_ons_district","E08000008","Tameside",,"character"
"collision","local_authority_ons_district","E08000009","Trafford",,"character"
"collision","local_authority_ons_district","E08000010","Wigan",,"character"
"collision","local_authority_ons_district","E08000011","Knowsley",,"character"
"collision","local_authority_ons_district","E08000012","Liverpool",,"character"
"collision","local_authority_ons_district","E08000013","St. Helens",,"character"
"collision","local_authority_ons_district","E08000014","Sefton",,"character"
"collision","local_authority_ons_district","E08000015","Wirral",,"character"
"collision","local_authority_ons_district","E08000016","Barnsley",,"character"
"collision","local_authority_ons_district","E08000017","Doncaster",,"character"
"collision","local_authority_ons_district","E08000018","Rotherham",,"character"
"collision","local_authority_ons_district","E08000019","Sheffield",,"character"
"collision","local_authority_ons_district","E08000020","Gateshead",,"character"
"collision","local_authority_ons_district","E08000021","Newcastle upon Tyne",,"character"
"collision","local_authority_ons_district","E08000022","North Tyneside",,"character"
"collision","local_authority_ons_district","E08000023","South Tyneside",,"character"
"collision","local_authority_ons_district","E08000024","Sunderland",,"character"
"collision","local_authority_ons_district","E08000025","Birmingham",,"character"
"collision","local_authority_ons_district","E08000026","Coventry",,"character"
"collision","local_authority_ons_district","E08000027","Dudley",,"character"
"collision","local_authority_ons_district","E08000028","Sandwell",,"character"
"collision","local_authority_ons_district","E08000029","Solihull",,"character"
"collision","local_authority_ons_district","E08000030","Walsall",,"character"
"collision","local_authority_ons_district","E08000031","Wolverhampton",,"character"
"collision","local_authority_ons_district","E08000032","Bradford",,"character"
"collision","local_authority_ons_district","E08000033","Calderdale",,"character"
"collision","local_authority_ons_district","E08000034","Kirklees",,"character"
"collision","local_authority_ons_district","E08000035","Leeds",,"character"
"collision","local_authority_ons_district","E08000037","Gateshead",,"character"
"collision","local_authority_ons_district","E08000036","Wakefield",,"character"
"collision","local_authority_ons_district","E09000001","City of London",,"character"
"collision","local_authority_ons_district","E09000001","City of London",,"character"
"collision","local_authority_ons_district","E09000002","Barking and Dagenham",,"character"
"collision","local_authority_ons_district","E09000003","Barnet",,"character"
"collision","local_authority_ons_district","E09000004","Bexley",,"character"
"collision","local_authority_ons_district","E09000005","Brent",,"character"
"collision","local_authority_ons_district","E09000006","Bromley",,"character"
"collision","local_authority_ons_district","E09000007","Camden",,"character"
"collision","local_authority_ons_district","E09000008","Croydon",,"character"
"collision","local_authority_ons_district","E09000009","Ealing",,"character"
"collision","local_authority_ons_district","E09000010","Enfield",,"character"
"collision","local_authority_ons_district","E09000011","Greenwich",,"character"
"collision","local_authority_ons_district","E09000012","Hackney",,"character"
"collision","local_authority_ons_district","E09000013","Hammersmith and Fulham",,"character"
"collision","local_authority_ons_district","E09000014","Haringey",,"character"
"collision","local_authority_ons_district","E09000015","Harrow",,"character"
"collision","local_authority_ons_district","E09000016","Havering",,"character"
"collision","local_authority_ons_district","E09000017","Hillingdon",,"character"
"collision","local_authority_ons_district","E09000018","Hounslow",,"character"
"collision","local_authority_ons_district","E09000019","Islington",,"character"
"collision","local_authority_ons_district","E09000020","Kensington and Chelsea",,"character"
"collision","local_authority_ons_district","E09000021","Kingston upon Thames",,"character"
"collision","local_authority_ons_district","E09000022","Lambeth",,"character"
"collision","local_authority_ons_district","E09000023","Lewisham",,"character"
"collision","local_authority_ons_district","E09000024","Merton",,"character"
"collision","local_authority_ons_district","E09000025","Newham",,"character"
"collision","local_authority_ons_district","E09000026","Redbridge",,"character"
"collision","local_authority_ons_district","E09000027","Richmond upon Thames",,"character"
"collision","local_authority_ons_district","E09000028","Southwark",,"character"
"collision","local_authority_ons_district","E09000029","Sutton",,"character"
"collision","local_authority_ons_district","E09000030","Tower Hamlets",,"character"
"collision","local_authority_ons_district","E09000031","Waltham Forest",,"character"
"collision","local_authority_ons_district","E09000032","Wandsworth",,"character"
"collision","local_authority_ons_district","E09000033","Westminster",,"character"
"collision","local_authority_ons_district","E10000004","Cheshire",,"character"
"collision","local_authority_ons_district","EHEATHROW","London Airport (Heathrow)",,"character"
"collision","local_authority_ons_district","S12000005","Clackmannanshire",,"character"
"collision","local_authority_ons_district","S12000006","Dumfries and Galloway",,"character"
"collision","local_authority_ons_district","S12000008","East Ayrshire",,"character"
"collision","local_authority_ons_district","S12000009","East Dunbartonshire",,"character"
"collision","local_authority_ons_district","S12000010","East Lothian",,"character"
"collision","local_authority_ons_district","S12000011","East Renfrewshire",,"character"
"collision","local_authority_ons_district","S12000013","Comhairle nan Eilean Siar",,"character"
"collision","local_authority_ons_district","S12000014","Falkirk",,"character"
"collision","local_authority_ons_district","S12000015","Fife",,"character"
"collision","local_authority_ons_district","S12000017","Highland",,"character"
"collision","local_authority_ons_district","S12000018","Inverclyde",,"character"
"collision","local_authority_ons_district","S12000019","Midlothian",,"character"
"collision","local_authority_ons_district","S12000020","Moray",,"character"
"collision","local_authority_ons_district","S12000021","North Ayrshire",,"character"
"collision","local_authority_ons_district","S12000023","Orkney Islands",,"character"
"collision","local_authority_ons_district","S12000024","Perth and Kinross",,"character"
"collision","local_authority_ons_district","S12000026","Scottish Borders",,"character"
"collision","local_authority_ons_district","S12000027","Shetland Islands",,"character"
"collision","local_authority_ons_district","S12000028","South Ayrshire",,"character"
"collision","local_authority_ons_district","S12000029","South Lanarkshire",,"character"
"collision","local_authority_ons_district","S12000030","Stirling",,"character"
"collision","local_authority_ons_district","S12000033","Aberdeen City",,"character"
"collision","local_authority_ons_district","S12000034","Aberdeenshire",,"character"
"collision","local_authority_ons_district","S12000035","Argyll and Bute",,"character"
"collision","local_authority_ons_district","S12000036","City of Edinburgh",,"character"
"collision","local_authority_ons_district","S12000038","Renfrewshire",,"character"
"collision","local_authority_ons_district","S12000039","West Dunbartonshire",,"character"
"collision","local_authority_ons_district","S12000040","West Lothian",,"character"
"collision","local_authority_ons_district","S12000041","Angus",,"character"
"collision","local_authority_ons_district","S12000042","Dundee City",,"character"
"collision","local_authority_ons_district","S12000043","Glasgow City",,"character"
"collision","local_authority_ons_district","S12000044","North Lanarkshire",,"character"
"collision","local_authority_ons_district","S12000045","East Dunbartonshire",,"character"
"collision","local_authority_ons_district","S12000046","Glasgow City",,"character"
"collision","local_authority_ons_district","S12000047","Fife",,"character"
"collision","local_authority_ons_district","S12000048","Perth and Kinross",,"character"
"collision","local_authority_ons_district","S12000049","Glasgow City",,"character"
"collision","local_authority_ons_district","S12000050","North Lanarkshire",,"character"
"collision","local_authority_ons_district","W06000001","Isle of Anglesey",,"character"
"collision","local_authority_ons_district","W06000002","Gwynedd",,"character"
"collision","local_authority_ons_district","W06000003","Conwy",,"character"
"collision","local_authority_ons_district","W06000004","Denbighshire",,"character"
"collision","local_authority_ons_district","W06000005","Flintshire",,"character"
"collision","local_authority_ons_district","W06000006","Wrexham",,"character"
"collision","local_authority_ons_district","W06000008","Ceredigion",,"character"
"collision","local_authority_ons_district","W06000009","Pembrokeshire",,"character"
"collision","local_authority_ons_district","W06000010","Carmarthenshire",,"character"
"collision","local_authority_ons_district","W06000011","Swansea",,"character"
"collision","local_authority_ons_district","W06000012","Neath Port Talbot",,"character"
